NO.,Name of health facility,Telephone number,Email Address,Street Address,Municipality,Expiry Date,Sector of health facility,Head of the facility,Region,Province
47,"Cordillera Hospital Of The 
Divine Grace",0746205692,info@cordillerahospital.com,MB-73 PUGUIS,LA TRINIDAD,31/12/2025,P,"Edgar A. Biteng, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
48,"Department Of Education, 
Schools Division Office Of 
Baguio City, Central",744427819,sdobaguiohealthandnutrition@gma il.com,NO. 82 MILITARY CUT OFF,BAGUIO CITY,31/12/2025,G,"Arlene O. Awing, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
49,"Engineer'S Hill District Health 
Center",074,"engineershillhealthcenter@gmail.c
om","MANALO ALLEY, V. MARTINEZ ST.,
PUROK 2, ENGINEER'S",BAGUIO CITY,31/12/2025,G,"Helen C. Colewan, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
50,Fort Del Pilar Station Hospital,074,fdpsh.pmash@gmail.com,FORT GENERAL GREGORIO DEL PILAR,BAGUIO CITY,31/12/2025,G,"Guillermo M. Subala, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
51,Irisan District Health Center,744420102,irisanhc@gmail.com,"PUROK 12, IRISAN",BAGUIO CITY,31/12/2025,G,"Vanessa P. Fagcangan, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
52,"Itogon Municipal Health 
Services",074-6651046,itogonmesudrrmh@gmail.com,"PUROK I, POBLACION",ITOGON,31/12/2025,G,"Oliver P. Guadaña, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
57,Loakan District Health Center,746658761,loakanhc2019@gmail.com,"PUROK 36 BUBON, LOAKAN PROPER",BAGUIO CITY,31/12/2025,G,Thelma B. Matbagan,CORDILLERA ADMINISTRATIVE REGION,BENGUET
58,Lucban District Health Center,074,lucbanhc@gmail.com,T. ALONZO STREET,BAGUIO CITY,31/12/2025,G,"Deansy Banda-Ay Laginglicawen, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
61,"Olympian Medical And 
Diagnostic",0746652095,olympianmdc@gmail.com,"OLYMPIAN LANE BLDG., NO. 5 UPPER MABINI ST.",BAGUIO CITY,31/12/2025,P,"Melina M. Bancilo, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
62,Center Inc.Pacdal District Health Center,074,pacdal.healthcenter@gmail.com,SIAPNO ROAD,BAGUIO CITY,31/12/2025,G,"Edna A. Tabo-Oy, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
63,Pinsao District Health Center,074,pinsaohealthcenter@gmail.com,"PUROK 7, PINSAO PILOT PROJECT",BAGUIO CITY,31/12/2025,G,"Elvira C. Belingon, Md",CORDILLERA ADMINISTRATIVE REGION,BENGUET
64,"Quezon Hill District Health 
Center",074-620-5469,quezonhillclinic@gmail.com,"MALLARE ST., MIDDLE QUEZON HILL",BAGUIO CITY,31/12/2025,G,"Ana Marie R. Banta, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
65,"Quirino Hill District Health 
Center",746205338,quirinohillhealthcenter2019@gmail .com,"126 BLOCK 3, MIDDLE QUIRINO HILL",BAGUIO CITY,31/12/2025,G,"Maria Alice P. Torres, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
66,Sablan Rural Health Unit,744423523,sablanrhu@yahoo.com,POBLACION,SABLAN,31/12/2025,G,"Junnette B. De Guzman, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
67,"Tuba Municipal Health Services 
Office",744243058,mshotuba2603@gmail.com,POBLACION,TUBA,31/12/2025,G,"Angeline S. Fukai-Calatan, M.D.",CORDILLERA ADMINISTRATIVE REGION,BENGUET
92,San Juan General Hospital,746277136,sjgh2019@yahoo.com,"PUROK 5, SAN JUAN",TABUK,31/12/2025,P,"John V. Akia, M.D.",CORDILLERA ADMINISTRATIVE REGION,KALINGA
115,"Tadian Municipal Health 
Services Office",746041298,mhotadian@gmail.com,POBLACION,TADIAN,31/12/2025,G,"Ruth Ann S. Balaoas, M.D.",CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE
126,Governor Roque B. Ablan Sr. Memorial Hospital,077-7720303,pho_grbasmh@yahoo.com,"P. GOMEZ ST., BRGY. 23, SAN MATIAS",LAOAG CITY,31/12/2025,G,Dr. Arlene G. Ragasa,"REGION I FOUNDATION , INC.",ILOCOS NORTE
128,Karmelli Clinic And Hospital Pinili Inc.,077-7743227,kchpi2016@gmail.com,BRGY. APATUT-LUBONG,PINILI,31/12/2025,P,Dr. Norman Panfilo G. Rabago,"REGION I FOUNDATION , INC.",ILOCOS NORTE
131,"Mariano Marcos Memorial 
Hospital",077-6008000,mmmh_doh@yahoo.com,"SAN JULIAN,",BATAC,31/12/2025,G,Maria Lourdes K. Otayza,"REGION I FOUNDATION , INC.",ILOCOS NORTE
136,Pagudpud Rural Health Unit,077-7740834,mho_pagudpud@yahoo.com,BRGY. POBLACION 2,PAGUDPUD,31/12/2025,G,Dr. Janice De Guzman - Zapanta,"REGION I FOUNDATION , INC.",ILOCOS NORTE
143,"The Black Nazarene Hospital, Inc.",(077),ilocosurology@yahoo.com,"29 BONOAN ST. BRGY. 2 , SAN
BALTAZAR",SAN NICOLAS,31/12/2025,P,Dr. Jonathan G. Noble,"REGION I FOUNDATION , INC.",ILOCOS NORTE
150,"Candon St. Martin De Porres 
Hospital",077-6740513,stmartindeporreshospital,"BLDG. 33, 25 DE MARSO ST., SAN
ANTONIO",CANDON,31/12/2025,P,Dr. Modesto A. Pacquing,"REGION I FOUNDATION , INC.",ILOCOS SUR
158,"Ilocos Sur District Hospital 
Tagudin",077-6743264,tagudin_hospital@yahoo.com,BIO,TAGUDIN,31/12/2025,G,Dr. Julianito L. Bona,"REGION I FOUNDATION , INC.",ILOCOS SUR
188,Hospitalvigan City Health Office,077-7222466,healthoffice@vigancity.gov.ph,"QUEZON AVENUE, BRGY. 1",VIGAN,31/12/2025,G,Dr. Debbie Jane J. Prudencio,"REGION I FOUNDATION , INC.",ILOCOS SUR
189,"Agoo Municipal Health Office 
Primary",(072),"agoo_munhealthoffice@yahoo.co
m",STA. BARBARA,AGOO,31/12/2026,G,Dr. Jen Mavy C. Peñalosa,"REGION I FOUNDATION , INC.",LA UNION
190,Care Facilityaringay Birth-In Clinic And Rhu,(072)889-6036,lgu_aringay@yahoo.com,POBLACION,ARINGAY,31/12/2026,G,Dr. Jinky B. Figuracion,"REGION I FOUNDATION , INC.",LA UNION
191,Bacnotan District Hospital,(072),bdh_bacnotan@yahoo.com,POBLACION,BACNOTAN,31/12/2026,G,Dr. Zenserly D. Pagaduan,"REGION I FOUNDATION , INC.",LA UNION
194,Balaoan District Hospital,072-6030280,bldh@launion.gov.ph,BUNGOL,BALAOAN,31/12/2026,G,Dr. Mark Anthony S. Tomboc,"REGION I FOUNDATION , INC.",LA UNION
195,"Balaoan Municipal Health 
Office And Birthing Clinic",(072),mho_balaoan@yahoo.com,"ORIEL ST., ANTONINO",BALAOAN,31/12/2027,G,Dr. Maria Aina Iñica D. Marfil,"REGION I FOUNDATION , INC.",LA UNION
196,"Bangar Municipal Health Office 
And",607-4245,rhubangar@yahoo.com,MA CRISTINA EAST,BANGAR,31/12/2025,G,Dr. Eunice M. Raynon,"REGION I FOUNDATION , INC.",LA UNION
199,Caba District Hospital,(072)607-0633,cdh@launion.gov.ph,"NATIONAL HIGHWAY, POBLACION SUR",CABA,31/12/2026,G,"Dr. Antonio L. Valdriz, Jr","REGION I FOUNDATION , INC.",LA UNION
200,"Caba Primary Health Care 
Facility",(072),rhu.caba@yahoo.com,"CAMACHO ST., POBLACION SUR",CABA,31/12/2026,G,"Dr. Nancy Catherine N.
Balanon","REGION I FOUNDATION , INC.",LA UNION
201,"City Of San Fernando Primary 
Care",(072),csflu.cho@gmail.com,"1/F MARCOS BLDG GOV LUCERO ST
COR F. ORTEGA  HWAY",SAN FERNANDO CITY,31/12/2026,G,Dr. Michael C. Bangloy,"REGION I FOUNDATION , INC.",LA UNION
203,"Doña Donata Aguila Memorial 
Health",(072),rhubauang@yahoo.com,"NERA STREET, CENTRAL EAST",BAUANG,31/12/2026,G,Dr. Erwill O. Nunan,"REGION I FOUNDATION , INC.",LA UNION
204,"Centerilocos Training And Regional 
Medical",(072)607-6418,nmr.itrmc20@gmail.com,"PARIAN,",SAN FERNANDO CITY,31/12/2026,G,Dr. Eduardo M. Badua Iii,"REGION I FOUNDATION , INC.",LA UNION
205,"Centerilocos Training And Regional 
Medical Center-Bagongurgent 
Care And Ambulatory Services 
(Bucas) Center",072-6076418,itrmc2010@yahoo.com,BRGY. FRANCIA SUR,TUBAO,31/12/2027,G,Dr. Eduardo Iii M. Badua,"REGION I FOUNDATION , INC.",LA UNION
206,La Union Medical Center,(072)607-5541072-6075938,launionmedicalcenter@ymail.com,BRGY. NAZARENO,AGOO,31/12/2025,G,Dr. Glenn Ernest M. Fonbuena,"REGION I FOUNDATION , INC.",LA UNION
208,"Medisense Laboratory Center, 
Inc. - La Union Branch",072-6875804,medisenselaunion2022@gmail.com,"2ND FL. PARAMMATA REALTY AND DEV. 
CORP. BLDG.BIDAY",SAN FERNANDO CITY,31/12/2025,P,Dr. Kaezel A. Lauigan,"REGION I FOUNDATION , INC.",LA UNION
209,Naguilian District Hospital,072-6091853,ndh@launion.gov.ph,NATIVIDAD,NAGUILIAN,31/12/2027,G,Dr. Dan William Y. Dacanay Ii,"REGION I FOUNDATION , INC.",LA UNION
210,"Naguilian Municipal Health 
Office",619-4928,naguilianmunicipalhealthoffice@ya hoo.com,ORTIZ,NAGUILIAN,31/12/2026,G,"Dr. Teofilo Severo E. Dumaguin
Jr.","REGION I FOUNDATION , INC.",LA UNION
214,Tomas La Unionpugo Rural Health Unit,072-6822077,rhupugo@gmail.com,POBLACION WEST,PUGO,31/12/2025,G,"Dr. Josanne Lilac Wadwadan-
De Castro","REGION I FOUNDATION , INC.",LA UNION
215,Rosario District Hospital,(072)687-0456,rdh@launion.gov.ph,"CONCEPCION,",ROSARIO,31/12/2027,G,Dr. Michelle D. Arellano,"REGION I FOUNDATION , INC.",LA UNION
220,Sudipen Rural Health Unit,607-2351,mhosudipen@gmail.com,POBLACION,SUDIPEN,31/12/2026,G,Dr. Jerson S. Bangaoil,"REGION I FOUNDATION , INC.",LA UNION
221,"Tubao Rural Health Unit - 
Primary Care",(072),rhu.tubao@yahoo.com.ph,"HALOG STREET, POBLACION",TUBAO,31/12/2026,G,Dr. Janice Cervantes-Arellaga,"REGION I FOUNDATION , INC.",LA UNION
225,Allied Care Experts (Ace) Medical Center,223-7264,acemcp2020@yahoo.com,"23 DE VENECIA RD., BRGY. MALUED",DAGUPAN CITY,31/12/2025,P,Dr. Heintje Esio,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
236,Calasiao Rural Health Unit - I,075-6003168,calasiao_health@yahoo.com.ph,"PUESTA ST., BRGY. POBLACION EAST",CALASIAO,31/12/2026,G,Dr. Gemma I. Rodrigo,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
243,"Eastern Pangasinan District 
Hospital",075-572-4339,epdhtayug2445@gmail.com/philhe althepdh@gmail.com,"NEW MAGALLANES,",TAYUG,31/12/2025,G,Dr. Agnes Leored D. Rioflorido,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
248,Lingayen District Hospital,075-542-2295,ldh_pang@yahoo.com,POBLACION,LINGAYEN,31/12/2025,G,Dr. Aurelio O. Cariño,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
250,Manaoag Community Hospital,(075)519-4833,manaoagcommunityhospital2013 @yahoo.com.ph,BARITAO,MANAOAG,31/12/2025,G,Dr. Donn P. Doria,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
252,"Mangatarem Rural Health Unit 
I",075-2116240,rhumangatarem@yahoo.com,GEN. LUNA ST.,MANGATAREM,31/12/2025,G,"Dr. Joseph Anthony G.
Laranang","REGION I FOUNDATION , INC.",PANGASINAN FACILITY
254,Manzon Maternal Care Co,075-6363021,manzonmaternalcare@gmail.com,149 MANZON ROAD,SAN CARLOS CITY,31/12/2025,P,Dr. Wilma M. Dela Cruz,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
255,Mapandan Community Hospital,075-632-0491,mapandancommhosp@yahoo.com,"024 FIRE TREE ST., POBLACION",MAPANDAN,31/12/2025,G,Dr. Pablito G. Banta,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
257,"Mbp-Blessed Trinity General 
Hospital,",632-1288,mbp_btgh_inc@yahoo.com.ph,UMANGAN,MANGATAREM,31/12/2025,P,Dr. Jaime R. Maron,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
262,Natividad Municipal Health Office And Birthing Clinic,;,rhu_natividad@yahoo.com,POBLACION EAST,NATIVIDAD,31/12/2025,G,Dr. Heidilene C. Pagal,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
263,"Nuestro Señor Santo Niño 
Hospital Inc.",075-6335805,nssnh@yahoo.com.ph,JUNA LUNA ST.,BAYAMBANG,31/12/2025,P,Dr. Charisse T. Alvarez,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
265,Pozorrubio Community,075-6323978,pozmunhospital@gmail.com,"TALOGTOG,",POZORUBIO,31/12/2025,G,"Dr. Julian  B. Rose, Jr.","REGION I FOUNDATION , INC.",PANGASINAN FACILITY
267,Region I Medical Center,075-5158901,region1mc@gmail.com,"ARELLANO ST., PANTAL",DAGUPAN CITY,31/12/2025,G,Dr. Joseph Roland O. Mejia,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
270,Centerrural Health Unit - I Malasiqui,075-6327543,rhumalasiqui@gmail.com,"BURGOS ST., POBLACION",MALASIQUI,31/12/2025,G,Dr. Marlo P. De Guzman,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
271,Rural Health Unit - Ii Lingayen,6537514,lingayen_rhu2@yahoo.com,BRGY. DOMALANDAN,LINGAYEN,31/12/2025,G,Dr. Ferdinand V. Guiang,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
275,Rural Health Unit I Bayambang,6330169,rhubayambang2016@gmail.com,"ROXAS ST., POBLACION",BAYAMBANG,31/12/2025,G,Dr. Paz F. Vallo,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
276,Rural Health Unit I Bolinao,075-6324657,rhu_bolinao@yahoo.com,GERMINAL,BOLINAO,31/12/2026,G,Dr. Pangilalo D. Del Fierro,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
287,"San Carlos City Rural Health 
Unit Ii",075-2035770,rhu2sccp.cristyflores@gmail.com,AGDAO,SAN CARLOS CITY,31/12/2025,G,Dr. Susan L. Benitez,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
289,San Fabian Rural Health Unit I,075-5113593,rhu1sanfabian@gmail.com,"CORNER ZARATE ST., CABALLERO ST.,
POBLACION",SAN FABIAN,31/12/2025,G,"Dr. Jose B. Quiros, Jr.","REGION I FOUNDATION , INC.",PANGASINAN FACILITY
291,San Jacinto Rural Health Unit,075-6543164,rhusanjacinto16@gmail.com,POBLACION,SAN JACINTO,31/12/2025,G,Dr. Arlene Susan S. Casabar,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
306,"Facilitywestern Pangasinan District 
Hospital",075-632-3810,wpdhalaminosnew@yahoo.com,"SAN JOSE DRIVE PUROK SABARO
POBLACION",ALAMINOS,31/12/2025,G,Dr. Ma. Teresa G. Sanchez,"REGION I FOUNDATION , INC.",PANGASINAN FACILITY
321,Incorporatedcagayan Valley Medical Center,(078),cvmcr2@gmail.com,"MAHARLIKA HIGHWAY, CARIG SUR,",TUGUEGARAO CITY,31/12/2025,G,"Cherry Lou M. Antonio, Md",REGION II,CAGAYAN
322,Calayan Rural Health Unit,9600,rhucalayan@gmail.com,"A. ESCALANTE STREET, POBLACION,",CALAYAN,31/12/2025,G,"Danica O. Mallabo, Md",REGION II,CAGAYAN
323,"Charles W. Selby Memorial 
Hospital,",078-888-24-85,cwsmhi@gmail.com,"DIEGO SILANG STREET., PUNTA",APARRI,31/12/2025,P,"Vivien Irene E. Pagayatan, Md",REGION II,CAGAYAN
328,Health And Wellness Center,304-6585,dohro2@cvchd.doh.gov.ph,"MAHARLIKA HIGHWAY, CARIG NORTE,",TUGUEGARAO CITY,31/12/2025,G,"Brian Niño C. Galapia, Md.",REGION II,CAGAYAN
336,Rural Health Unit Of Amulung,078-395-8724,amulungrhu3505@gmail.com,CENTRO,AMULUNG,31/12/2027,G,Dr. Ohba Sheila L. Suyu,REGION II,CAGAYAN
340,Sta. Ana Community Hospital,078-3776568,sachospital@yahoo.compapallatoc mildred616@gmail.com,"PINES DRIVE, CENTRO,",STA. ANA,31/12/2025,G,"Mildred Evelyn Frances M. 
Palpallatoc, Md",REGION II,CAGAYAN
348,Alicia Rural Health Unit,078-3230923,rhualicia_isabela@gmail.com,"MAGSAYSAY,",ALICIA,31/12/2026,G,Dr. Jenifer S. Ramos,REGION II,ISABELAAND BIRTHING HOME
354,"Care Facilitiescauayan Medical Specialists 
Hospital",078-6521401,cmshinc1401@yahoo.com,"NO 27  BURGOS ST., DISTRICT II",CAUAYAN,31/12/2025,P,"Francisco D. Acosta, Md",REGION II,ISABELAAND BIRTHING HOME
360,"De Vera Medical Center, Inc.",078-3052787,dvmc@yahoo.com,"FOUR LANES, PUROK 4A, CALAOCAN,",SANTIAGO CITY,31/12/2026,P,Dr. Bonaleth M De Vera,REGION II,ISABELAAND BIRTHING HOME
363,"Dr. Ester R. Garcia Medical Center, Inc.",078-6522694,ergmcphilhealth@outlook.com/tbd otsergmc@yahoo.com,"71 FNDY BLVD., SAN FERMIN,",CAUAYAN,31/12/2025,P,Dr. Ester R.Garcia,REGION II,ISABELAAND BIRTHING HOME
370,"Birthing Centermunicipal Health  Office Of 
Cabatuan",078-6521161,rhucabatuan@yahoo.com,"SAN VICENTE ST., CENTRO,",CABATUAN,31/12/2027,G,Dr. Ria Blanca A. Francisco,REGION II,ISABELAAND BIRTHING HOME
396,Santiago City Health Office,078-3052775,cho_santiago@gmail.com,"CITY HALL COMPOUND, SAN ANDRES",SANTIAGO CITY,31/12/2027,G,Dr. Robelyn De Vera Go,REGION II,ISABELAAND BIRTHING HOME
398,"Soller General Hospital, Inc.",078-642-0129,soller_hospital@yahoo.com,"220 BERNABE STREET, VIRA",ROXAS,31/12/2025,P,Dr. Eden U. Soller,REGION II,ISABELAAND BIRTHING HOME
399,"Southern Isabela Medical 
Center",(078),simc.mcc0421@gmail.com,"CORNER RECTO AVENUE, ZAMORA ST.,
ROSARIO,",SANTIAGO CITY,31/12/2026,G,"Melchor C. Dela Cruz Jr., Md",REGION II,ISABELAAND BIRTHING HOME
434,School Health Unitdingalan Community Hospital,427146849,dchaurora@yahoo.com,"N.D. GALVEZ STREET, BRGY.
CARAGSACAN,",DINGALAN,31/12/2025,G,"Julie Ann R. Mandapat-Resare,
Md",REGION III,AURORA
438,"Centermaria Aurora Community 
Hospital",427245882,ilovemach1974@gmail.com,"SATURNO STREET, BARANGAY 01,",MARIA AURORA,31/12/2025,G,"Marionne Maye F. Nicer, Md",REGION III,AURORA
446,"Bagac Community & Medicare 
Hospital",047,bagacmch@bataan.gov.ph,"BRGY. ATILANO RICARDO,",BAGAC,31/12/2025,G,"Ma. Bhangielynne C. Castro,
Md",REGION III,BATAAN
449,Balanga City Health Center Ii,2372215,balanga.rhu2@gmail.com,"J.P. RIZAL ST., PUERTO RIVAS, ITAAS,",BALANGA,31/12/2025,G,"Frizielt. Manliclic, Md",REGION III,BATAAN
450,Balanga City Health Center Iii,2370754,balanga.rhu3@gmail.com,"M.H. DEL PILAR ST., CUPANG ,",BALANGA,31/12/2025,G,"Anthony Constance M.
Angeles, Md",REGION III,BATAAN
451,Balanga City Health Center Iv,047-6135013,cho.rhu4.villalina@gmail.com,"DON ANTONIO ST., VILLA LINA SUBD.,
TENEJERO,",BALANGA,31/12/2025,G,"Cesar C. Chua, Md",REGION III,BATAAN
453,"Bataan General Hospital And 
Medical",047,bataanghmc2020@gmail.com,"MANAHAN STREET, TENEJERO,",BALANGA,31/12/2025,G,"Glory V. Baltazar, Md, Mph,
Mha, Cese",REGION III,BATAAN
454,"Centerbataan General Hospital And 
Medical",047,bataanghmd2020@gmail.com,"GOV. J.J. LINAO NATIONAL ROAD ALA-
ULI,",PILAR,31/12/2027,G,Noel M. Laxamana Md.,REGION III,BATAAN
456,"Bataandeped Sdo Balanga City Health 
And",047,balanga.city@deped.gov.ph,"DFS PHASE III, TALISAY",BALANGA,31/12/2025,G,"Roberto B. Lucas, Jr., Md",REGION III,BATAAN
458,Dinalupihan Rural Health Unit Ii,047-633-6393,dinalupihanrhu2@gmail.com,"CENTRO COLO,",DINALUPIHAN,31/12/2025,G,"Julie Ann G. Patawaran, Md",REGION III,BATAAN
465,"Jose C. Payumo Jr. Memorial 
Hospital",474811724,jcpayumo@bataan.gov.ph,"SAN RAMON,",DINALUPIHAN,31/12/2025,G,"Gena A. Abara, Md, Mha",REGION III,BATAAN
473,Orani District Hospital,472370757,oranidh@batan.gov.ph,"LOURDES STREET, MA. FE
SUBDIVISION,",ORANI,31/12/2025,G,"Rosalie P. Manubay, Md",REGION III,BATAAN
475,Orion Rural Health Unit,632444284,orionrhu@yahoo.com,"WAWA,",ORION,31/12/2025,G,"Corazon M. Cruz, Md",REGION III,BATAAN
476,Orion St. Michael Hospital Inc.,047,osmhkonsulta@gmail.com,"J.P. RIZAL STREET, WAKAS,",ORION,31/12/2025,P,"Angelito N. Baluyot Jr., Md",REGION III,BATAAN
480,Accucare Diagnostic Center,044,accucare@ymail.com,"(IL) S8 BUILDING, THE CABANAS,
LONGOS,",MALOLOS,31/12/2025,P,"Cecilia Leonila V. Chavez, Md",REGION III,BULACAN
482,"Doctors, Inc.Allied Care Experts (Ace) Medical Center Center-Baliwag, Inc.",044,acemedicalcenterbaliwag@gmail.c om,"LOT 2975 C-1 DOÑA REMEDIOS TRINIDAD 
HIGHWAY, PINAGBARILAN,",BALIUAG,31/12/2025,P,"Aileen Benedicta M. Ong, Md",REGION III,BULACAN
490,"Brigino General Hospital, Inc.",448154456,leo_brigino@yahoo.com,"20 QUIRINO HIGHWAY, PECSONVILLE SUBD., 
BRGY. TUNGKONG MANGGA,",SAN JOSE DEL MONTE,31/12/2025,P,"Maryll M. Abaño, Md, Mha, Fpogs",REGION III,BULACAN
492,Bustos Community Hospital,761,bustoscommunity.hospital@gmail. com,"HILARIO STREET, POBLACION,",BUSTOS,31/12/2025,G,"Rowena R. Ocmer, Md",REGION III,BULACAN
493,Bustos Rural Health Unit I,447929308,bustosrhu@gmail.com,"MUNICIPAL COMPOUND, POBLACION,",BUSTOS,31/12/2025,G,"Lelisa F. Esguerra, Md",REGION III,BULACAN
494,Bustos Rural Health Unit Ii,044-979293-08,bustosrhu@gmail.com,"LICIADA,",BUSTOS,31/12/2027,G,"Lelisa F. Esguerra, Md",REGION III,BULACAN
495,Calumpit Rural Health Unit Ii,044-7691986,rhu2calumpit@yahoo.com,"SAN MARCOS HIGHWAY,",CALUMPIT,31/12/2025,G,"Marites P. Santos, Md",REGION III,BULACAN
516,"Graman Medical & Maternity 
Hospital",044,gramanhospital.inc@gmail.com,"# 44 CAMIA STREET, BRGY. DAKILA,",MALOLOS,31/12/2025,P,"Anna Grace R. Sevilla, Md,
Fpogs, Fpsuog, Mhca",REGION III,BULACAN
518,Guiguinto Rural Health Unit Ii,044-7603450,leigh_74@gmail.com,"TIAONG,",GUIGUINTO,31/12/2027,G,"Fiela V. Panganiban, Md",REGION III,BULACAN
521,Hagonoy Rural Health Unit Iii,7949436,jrcsabino2@gmail.com,"PUROK 3, SAN NICOLAS,",HAGONOY,31/12/2026,G,"Jose Rodelio C. Sabino, Md",REGION III,BULACAN
527,"Kairos Maternity & General 
Hospital",448154653,kairos_hospital@yahoo.com,"NATIONAL ROAD, MUZON",SAN JOSE DEL MONTE,31/12/2025,P,"Joy A. Ortega, Md, Mha",REGION III,BULACAN
539,Malolos San Vicente Hospital,447915760,malolossanvicentehospital2017@g mail.com,"LUCERO STREET, CANIOGAN,",MALOLOS,31/12/2025,P,"Ma. Corazon Irene Villano-De
Roxas, Md, Dpps",REGION III,BULACAN
543,"Mateo-Mabborang General 
Hospital",447944399,mateomabborang26@yahoo.com,"TOMA CRUZ STREET, STO. NIÑO,",HAGONOY,31/12/2025,P,"Erwin P. Mabborang, Md",REGION III,BULACAN
544,"Mayor Isagani C. Pascual 
Hospital",044,ospitalgto@gmail.com,"BLISS TABE,",GUIGUINTO,31/12/2027,G,"Paul Ruel C. Camiña, Md, Fpoa,
Fpcs, Mph",REGION III,BULACAN
